year,month,gov_gop,sen_gop,rep_gop,gov_dem,sen_dem,rep_dem,president,close,unemployment_rate
1947,January,23,51,253,23,45,198,dem,NA,NA
1947,February,23,51,253,23,45,198,dem,NA,NA
1947,March,23,51,253,23,45,198,dem,NA,NA
1947,April,23,51,253,23,45,198,dem,NA,NA
1947,May,23,51,253,23,45,198,dem,NA,NA
1947,June,23,51,253,23,45,198,dem,NA,NA
1947,July,23,51,253,23,45,198,dem,NA,NA
1947,August,23,51,253,23,45,198,dem,NA,NA
1947,September,23,51,253,23,45,198,dem,NA,NA
1947,October,23,51,253,23,45,198,dem,NA,NA
1947,November,24,51,253,23,45,198,dem,NA,NA
1947,December,24,51,253,23,45,198,dem,NA,NA
1948,January,22,53,253,24,48,198,dem,NA,3.4
1948,February,22,53,253,24,48,198,dem,NA,3.8
1948,March,22,53,253,24,48,198,dem,NA,4
1948,April,22,53,253,24,48,198,dem,NA,3.9
1948,May,22,53,253,24,48,198,dem,NA,3.5
1948,June,22,53,253,24,48,198,dem,NA,3.6
1948,July,22,53,253,24,48,198,dem,NA,3.6
1948,August,22,53,253,24,48,198,dem,NA,3.9
1948,September,22,53,253,24,48,198,dem,NA,3.8
1948,October,22,53,253,24,48,198,dem,NA,3.7
1948,November,22,53,253,24,48,198,dem,NA,3.8
1948,December,22,53,253,24,48,198,dem,NA,4
1949,January,18,45,177,29,58,269,dem,NA,4.3
1949,February,18,45,177,29,58,269,dem,NA,4.7
1949,March,18,45,177,29,58,269,dem,NA,5
1949,April,18,45,177,29,58,269,dem,NA,5.3
1949,May,18,45,177,29,58,269,dem,NA,6.1
1949,June,18,45,177,29,58,269,dem,NA,6.2
1949,July,18,45,177,30,58,269,dem,NA,6.7
1949,August,18,45,177,30,58,269,dem,NA,6.8
1949,September,18,45,177,30,58,269,dem,NA,6.6
1949,October,18,45,177,30,58,269,dem,NA,7.9
1949,November,18,45,177,30,58,269,dem,NA,6.4
1949,December,18,45,177,30,58,269,dem,NA,6.6
1950,January,18,44,177,29,57,269,dem,17.049999,6.5
1950,February,18,44,177,29,57,269,dem,17.219999,6.4
1950,March,18,44,177,29,57,269,dem,17.290001,6.3
1950,April,18,44,177,29,57,269,dem,17.959999,5.8
1950,May,18,44,177,29,57,269,dem,18.780001,5.5
1950,June,18,44,177,29,57,269,dem,17.690001,5.4
1950,July,18,44,177,29,57,269,dem,17.84,5
1950,August,18,44,177,29,57,269,dem,18.42,4.5
1950,September,18,44,177,29,57,269,dem,19.450001,4.4
1950,October,18,44,177,29,57,269,dem,19.530001,4.2
1950,November,18,44,177,29,57,269,dem,19.51,4.2
1950,December,18,44,177,29,57,269,dem,20.43,4.3
1951,January,24,47,207,22,51,242,dem,21.66,3.7
1951,February,24,47,207,22,51,242,dem,21.799999,3.4
1951,March,24,47,207,22,51,242,dem,21.48,3.4
1951,April,24,47,207,22,51,242,dem,22.43,3.1
1951,May,24,47,207,22,51,242,dem,21.52,3
1951,June,24,47,207,22,51,242,dem,20.959999,3.2
1951,July,24,47,207,22,51,242,dem,22.4,3.1
1951,August,24,47,207,22,51,242,dem,23.280001,3.1
1951,September,24,47,207,22,51,242,dem,23.26,3.3
1951,October,25,47,207,22,51,242,dem,22.940001,3.5
1951,November,25,47,207,22,51,242,dem,22.879999,3.5
1951,December,25,47,207,22,51,242,dem,23.77,3.1
1952,January,24,50,207,22,50,242,dem,24.139999,3.2
1952,February,24,50,207,22,50,242,dem,23.26,3.1
1952,March,24,50,207,22,50,242,dem,24.370001,2.9
1952,April,24,50,207,22,50,242,dem,23.32,2.9
1952,May,24,50,207,22,50,242,dem,23.860001,3
1952,June,24,50,207,22,50,242,dem,24.959999,3
1952,July,24,50,207,22,50,242,dem,25.4,3.2
1952,August,24,50,207,22,50,242,dem,25.030001,3.4
1952,September,24,50,207,22,50,242,dem,24.540001,3.1
1952,October,24,50,207,22,50,242,dem,24.52,3
1952,November,24,50,207,22,50,242,dem,25.66,2.8
1952,December,24,50,207,22,50,242,dem,26.57,2.7
1953,January,29,50,222,17,49,220,gop,26.379999,2.9
1953,February,29,50,222,17,49,220,gop,25.9,2.6
1953,March,29,50,222,17,49,220,gop,25.290001,2.6
1953,April,29,50,222,17,49,220,gop,24.620001,2.7
1953,May,29,50,222,17,49,220,gop,24.540001,2.5
1953,June,29,50,222,17,49,220,gop,24.139999,2.5
1953,July,29,50,222,17,49,220,gop,24.75,2.6
1953,August,29,50,222,17,49,220,gop,23.32,2.7
1953,September,29,50,222,17,49,220,gop,23.35,2.9
1953,October,30,50,222,18,49,220,gop,24.540001,3.1
1953,November,30,50,222,18,49,220,gop,24.76,3.5
1953,December,30,50,222,18,49,220,gop,24.809999,4.5
1954,January,29,55,222,18,53,220,gop,26.08,4.9
1954,February,29,55,222,18,53,220,gop,26.15,5.2
1954,March,29,55,222,18,53,220,gop,26.940001,5.7
1954,April,29,55,222,18,53,220,gop,28.26,5.9
1954,May,29,55,222,18,53,220,gop,29.190001,5.9
1954,June,29,55,222,18,53,220,gop,29.209999,5.6
1954,July,29,55,222,18,53,220,gop,30.879999,5.8
1954,August,29,55,222,18,53,220,gop,29.83,6
1954,September,29,55,222,18,53,220,gop,32.310001,6.1
1954,October,29,55,222,18,53,220,gop,31.68,5.7
1954,November,29,55,222,19,53,220,gop,34.240002,5.3
1954,December,29,55,222,19,53,220,gop,35.98,5
1955,January,21,47,204,26,48,237,gop,36.630001,4.9
1955,February,21,47,204,26,48,237,gop,36.759998,4.7
1955,March,21,47,204,26,48,237,gop,36.580002,4.6
1955,April,21,47,204,26,48,237,gop,37.959999,4.7
1955,May,21,47,204,26,48,237,gop,37.91,4.3
1955,June,21,47,204,26,48,237,gop,41.029999,4.2
1955,July,21,47,204,26,48,237,gop,43.52,4
1955,August,21,47,204,26,48,237,gop,43.18,4.2
1955,September,21,47,204,26,48,237,gop,43.669998,4.1
1955,October,21,47,204,26,48,237,gop,42.34,4.3
1955,November,21,47,204,26,48,237,gop,45.509998,4.2
1955,December,21,47,204,26,48,237,gop,45.48,4.2
1956,January,21,49,204,26,51,237,gop,43.82,4
1956,February,21,49,204,26,51,237,gop,45.34,3.9
1956,March,21,49,204,26,51,237,gop,48.48,4.2
1956,April,21,49,204,26,50,237,gop,48.380001,4
1956,May,21,49,204,26,50,237,gop,45.200001,4.3
1956,June,21,49,204,26,50,237,gop,46.970001,4.3
1956,July,21,49,204,26,50,237,gop,49.389999,4.4
1956,August,21,49,204,26,50,237,gop,47.509998,4.1
1956,September,21,49,204,26,50,237,gop,45.349998,3.9
1956,October,21,49,204,26,50,237,gop,45.580002,3.9
1956,November,21,49,204,26,51,237,gop,45.080002,4.3
1956,December,21,49,204,26,51,237,gop,46.669998,4.2
1957,January,19,47,203,28,52,242,gop,44.720001,4.2
1957,February,19,47,203,28,52,242,gop,43.259998,3.9
1957,March,19,47,203,28,52,242,gop,44.110001,3.7
1957,April,19,47,203,28,52,242,gop,45.740002,3.9
1957,May,19,47,203,28,52,242,gop,47.43,4.1
1957,June,19,47,203,28,52,242,gop,47.369999,4.3
1957,July,19,47,203,28,52,242,gop,47.91,4.2
1957,August,19,47,203,28,52,242,gop,45.220001,4.1
1957,September,20,47,203,28,52,242,gop,42.419998,4.4
1957,October,20,47,203,28,52,242,gop,41.060001,4.5
1957,November,20,47,203,28,52,242,gop,41.720001,5.1
1957,December,20,47,203,28,52,242,gop,39.990002,5.2
1958,January,20,47,203,28,52,242,gop,41.700001,5.8
1958,February,20,47,203,28,52,242,gop,40.84,6.4
1958,March,20,47,203,28,52,242,gop,42.099998,6.7
1958,April,20,47,203,28,52,242,gop,43.439999,7.4
1958,May,20,47,203,28,52,242,gop,44.09,7.4
1958,June,20,47,203,28,52,242,gop,45.240002,7.3
1958,July,20,47,203,28,52,242,gop,47.189999,7.5
1958,August,20,47,203,28,52,242,gop,47.75,7.4
1958,September,20,47,203,28,52,242,gop,50.060001,7.1
1958,October,20,47,203,28,52,242,gop,51.330002,6.7
1958,November,20,47,203,28,52,242,gop,52.48,6.2
1958,December,20,47,203,28,52,242,gop,55.209999,6.2
1959,January,15,35,159,35,65,289,gop,55.450001,6
1959,February,15,35,159,35,65,289,gop,55.41,5.9
1959,March,15,35,159,35,65,289,gop,55.439999,5.6
1959,April,15,35,159,35,65,289,gop,57.59,5.2
1959,May,15,35,159,35,65,289,gop,58.68,5.1
1959,June,15,35,159,35,65,289,gop,58.470001,5
1959,July,15,35,159,35,65,289,gop,60.509998,5.1
1959,August,15,35,159,35,65,289,gop,59.599998,5.2
1959,September,15,35,159,35,65,289,gop,56.880001,5.5
1959,October,15,35,159,35,65,289,gop,57.52,5.7
1959,November,15,35,159,35,65,289,gop,58.279999,5.8
1959,December,15,35,159,35,65,289,gop,59.889999,5.3
1960,January,16,35,159,34,70,289,gop,55.610001,5.2
1960,February,16,35,159,34,70,289,gop,56.119999,4.8
1960,March,16,35,159,34,70,289,gop,55.34,5.4
1960,April,16,35,159,34,70,289,gop,54.369999,5.2
1960,May,16,35,159,34,70,289,gop,55.830002,5.1
1960,June,16,35,159,34,70,289,gop,56.919998,5.4
1960,July,16,35,159,34,70,289,gop,55.509998,5.5
1960,August,16,35,159,34,70,289,gop,56.959999,5.6
1960,September,17,35,159,34,70,289,gop,53.52,5.5
1960,October,17,35,159,34,70,289,gop,53.389999,6.1
1960,November,17,35,159,34,70,289,gop,55.540001,6.1
1960,December,17,35,159,34,70,289,gop,58.110001,6.6
1961,January,16,37,176,34,64,273,dem,61.779999,6.6
1961,February,16,37,176,34,64,273,dem,63.439999,6.9
1961,March,16,37,176,34,64,273,dem,65.059998,6.9
1961,April,16,37,176,34,64,273,dem,65.309998,7
1961,May,16,37,176,34,64,273,dem,66.559998,7.1
1961,June,16,37,176,34,64,273,dem,64.639999,6.9
1961,July,16,37,176,34,64,273,dem,66.760002,7
1961,August,16,37,176,34,64,273,dem,68.07,6.6
1961,September,16,37,176,34,64,273,dem,66.730003,6.7
1961,October,16,37,176,34,64,273,dem,68.620003,6.5
1961,November,16,37,176,34,64,273,dem,71.32,6.1
1961,December,16,37,176,34,64,273,dem,71.550003,6
1962,January,16,42,176,34,65,273,dem,68.839996,5.8
1962,February,16,42,176,34,65,273,dem,69.959999,5.5
1962,March,16,42,176,34,65,273,dem,69.550003,5.6
1962,April,16,42,176,34,65,273,dem,65.239998,5.6
1962,May,16,42,176,34,65,273,dem,59.630001,5.5
1962,June,16,42,176,34,65,273,dem,54.75,5.5
1962,July,16,42,176,34,65,273,dem,58.23,5.4
1962,August,16,42,176,34,65,273,dem,59.119999,5.7
1962,September,16,42,176,34,65,273,dem,56.27,5.6
1962,October,16,42,176,34,65,273,dem,56.52,5.4
1962,November,16,42,176,34,65,273,dem,62.259998,5.7
1962,December,16,42,176,34,65,273,dem,63.099998,5.5
1963,January,17,34,182,33,68,262,dem,66.199997,5.7
1963,February,17,34,182,33,68,262,dem,64.290001,5.9
1963,March,16,34,182,34,68,262,dem,66.57,5.7
1963,April,16,34,182,34,68,262,dem,69.800003,5.7
1963,May,16,34,182,34,68,262,dem,70.800003,5.9
1963,June,16,34,182,34,68,262,dem,69.370003,5.6
1963,July,16,34,182,34,68,262,dem,69.129997,5.6
1963,August,16,34,182,34,68,262,dem,72.5,5.4
1963,September,16,34,182,34,68,262,dem,71.699997,5.5
1963,October,16,34,182,34,68,262,dem,74.010002,5.5
1963,November,16,34,182,34,68,262,dem,73.230003,5.7
1963,December,16,34,182,34,68,262,dem,75.019997,5.5
1964,January,16,34,182,34,71,262,dem,77.040001,5.6
1964,February,16,34,182,34,71,262,dem,77.800003,5.4
1964,March,16,34,182,34,71,262,dem,78.980003,5.4
1964,April,16,34,182,34,71,262,dem,79.459999,5.3
1964,May,16,34,182,34,71,262,dem,80.370003,5.1
1964,June,16,34,182,34,71,262,dem,81.690002,5.2
1964,July,16,34,182,34,71,262,dem,83.18,4.9
1964,August,16,34,182,34,71,262,dem,81.830002,5
1964,September,16,34,182,34,71,262,dem,84.18,5.1
1964,October,16,34,182,34,71,262,dem,84.860001,5.1
1964,November,16,34,182,34,71,262,dem,84.419998,4.8
1964,December,16,34,182,34,71,262,dem,84.75,5
1965,January,17,32,141,33,69,301,dem,87.559998,4.9
1965,February,17,32,141,33,69,301,dem,87.43,5.1
1965,March,17,32,141,33,69,301,dem,86.160004,4.7
1965,April,17,32,141,33,69,301,dem,89.110001,4.8
1965,May,17,32,141,33,69,301,dem,88.419998,4.6
1965,June,17,32,141,33,69,301,dem,84.120003,4.6
1965,July,17,32,141,33,69,301,dem,85.25,4.4
1965,August,17,32,141,33,69,301,dem,87.169998,4.4
1965,September,17,32,141,33,69,301,dem,89.959999,4.3
1965,October,17,32,141,33,69,301,dem,92.419998,4.2
1965,November,17,32,141,33,69,301,dem,91.610001,4.1
1965,December,17,32,141,33,69,301,dem,92.43,4
1966,January,18,33,141,33,70,301,dem,92.879997,4
1966,February,18,33,141,33,70,301,dem,91.220001,3.8
1966,March,18,33,141,33,70,301,dem,89.230003,3.8
1966,April,18,33,141,33,70,301,dem,91.059998,3.8
1966,May,18,33,141,33,70,301,dem,86.129997,3.9
1966,June,18,33,141,33,70,301,dem,84.739998,3.8
1966,July,18,33,141,33,70,301,dem,83.599998,3.8
1966,August,18,33,141,33,70,301,dem,77.099998,3.8
1966,September,18,33,141,33,70,301,dem,76.559998,3.7
1966,October,18,33,141,33,70,301,dem,80.199997,3.7
1966,November,18,33,141,33,70,301,dem,80.449997,3.6
1966,December,18,33,141,33,70,301,dem,80.330002,3.8
1967,January,25,36,188,27,64,251,dem,86.610001,3.9
1967,February,25,36,188,27,64,251,dem,86.779999,3.8
1967,March,25,36,188,27,64,251,dem,90.199997,3.8
1967,April,25,36,188,27,64,251,dem,94.010002,3.8
1967,May,25,36,188,27,64,251,dem,89.080002,3.8
1967,June,25,36,188,27,64,251,dem,90.639999,3.9
1967,July,25,36,188,27,64,251,dem,94.75,3.8
1967,August,25,36,188,27,64,251,dem,93.639999,3.8
1967,September,25,36,188,27,64,251,dem,96.709999,3.8
1967,October,25,36,188,27,64,251,dem,93.300003,4
1967,November,25,36,188,27,64,251,dem,94,3.9
1967,December,25,36,188,27,64,251,dem,96.470001,3.8
1968,January,26,39,188,26,65,251,dem,92.239998,3.7
1968,February,26,39,188,26,65,251,dem,89.360001,3.8
1968,March,26,39,188,26,65,251,dem,90.199997,3.7
1968,April,26,39,188,26,65,251,dem,97.459999,3.5
1968,May,26,39,188,26,65,251,dem,98.68,3.5
1968,June,26,39,188,26,65,251,dem,99.580002,3.7
1968,July,26,39,188,26,65,251,dem,97.739998,3.7
1968,August,26,39,188,26,65,251,dem,98.860001,3.5
1968,September,26,39,188,26,65,251,dem,102.669998,3.4
1968,October,26,39,188,26,65,251,dem,103.410004,3.4
1968,November,26,39,188,26,65,251,dem,108.370003,3.4
1968,December,26,39,188,26,65,251,dem,103.860001,3.4
1969,January,31,43,199,22,57,250,gop,103.010002,3.4
1969,February,31,43,199,22,57,250,gop,98.129997,3.4
1969,March,31,43,199,22,57,250,gop,101.510002,3.4
1969,April,31,43,199,22,57,250,gop,103.690002,3.4
1969,May,31,43,199,22,57,250,gop,103.459999,3.4
1969,June,31,43,199,22,57,250,gop,97.709999,3.5
1969,July,31,43,199,22,57,250,gop,91.830002,3.5
1969,August,31,43,199,22,57,250,gop,95.510002,3.5
1969,September,31,43,199,22,57,250,gop,93.120003,3.7
1969,October,31,43,199,22,57,250,gop,97.120003,3.7
1969,November,31,43,199,22,57,250,gop,93.809998,3.5
1969,December,31,43,199,22,57,250,gop,92.059998,3.5
1970,January,32,43,199,20,58,250,gop,85.019997,3.9
1970,February,32,43,199,20,58,250,gop,89.5,4.2
1970,March,32,43,199,20,58,250,gop,89.629997,4.4
1970,April,32,43,199,20,58,250,gop,81.519997,4.6
1970,May,32,43,199,20,58,250,gop,76.550003,4.8
1970,June,32,43,199,20,58,250,gop,72.720001,4.9
1970,July,32,43,199,20,58,250,gop,78.050003,5
1970,August,32,43,199,20,58,250,gop,81.519997,5.1
1970,September,32,43,199,20,58,250,gop,84.300003,5.4
1970,October,32,43,199,20,58,250,gop,83.25,5.5
1970,November,32,43,199,20,58,250,gop,87.199997,5.9
1970,December,32,43,199,20,58,250,gop,92.150002,6.1
1971,January,21,44,185,30,55,259,gop,95.879997,5.9
1971,February,21,44,185,30,55,259,gop,96.75,5.9
1971,March,21,44,185,30,55,259,gop,100.309998,6
1971,April,21,44,185,30,55,259,gop,103.949997,5.9
1971,May,21,44,185,30,55,259,gop,99.629997,5.9
1971,June,21,44,185,30,55,259,gop,98.699997,5.9
1971,July,21,44,185,30,55,259,gop,95.580002,6
1971,August,21,44,185,30,55,259,gop,99.029999,6.1
1971,September,21,44,185,30,55,259,gop,98.339996,6
1971,October,21,44,185,30,55,259,gop,94.230003,5.8
1971,November,21,44,185,30,55,259,gop,93.989998,6
1971,December,21,44,185,30,55,259,gop,102.089996,6
1972,January,20,44,185,31,57,259,gop,103.940002,5.8
1972,February,20,44,185,31,57,259,gop,106.57,5.7
1972,March,20,44,185,31,57,259,gop,107.199997,5.8
1972,April,20,44,185,31,57,259,gop,107.669998,5.7
1972,May,20,44,185,31,57,259,gop,109.529999,5.7
1972,June,20,44,185,31,57,259,gop,107.139999,5.7
1972,July,20,44,185,31,57,259,gop,107.389999,5.6
1972,August,20,44,185,31,57,259,gop,111.089996,5.6
1972,September,20,44,185,31,57,259,gop,110.550003,5.5
1972,October,20,44,185,31,57,259,gop,111.580002,5.6
1972,November,20,44,185,31,57,259,gop,116.669998,5.3
1972,December,20,44,185,31,57,259,gop,118.050003,5.2
1973,January,19,42,195,32,56,249,gop,116.029999,4.9
1973,February,19,42,195,32,56,249,gop,111.68,5
1973,March,19,42,195,32,56,249,gop,111.519997,4.9
1973,April,19,42,195,32,56,249,gop,106.970001,5
1973,May,19,42,195,32,56,249,gop,104.949997,4.9
1973,June,19,42,195,32,56,249,gop,104.260002,4.9
1973,July,19,42,195,32,56,249,gop,108.220001,4.8
1973,August,20,42,195,32,56,249,gop,104.25,4.8
1973,September,20,42,195,32,56,249,gop,108.43,4.8
1973,October,20,42,195,32,56,249,gop,108.290001,4.6
1973,November,20,42,195,32,56,249,gop,95.959999,4.8
1973,December,20,42,195,32,56,249,gop,97.550003,4.9
1974,January,18,45,195,34,59,249,gop,96.57,5.1
1974,February,18,45,195,34,59,249,gop,96.220001,5.2
1974,March,18,45,195,34,59,249,gop,93.980003,5.1
1974,April,18,45,195,34,59,249,gop,90.309998,5.1
1974,May,18,45,195,34,59,249,gop,87.279999,5.1
1974,June,18,45,195,34,59,249,gop,86,5.4
1974,July,18,45,195,34,59,249,gop,79.309998,5.5
1974,August,18,45,195,34,59,249,gop,72.150002,5.5
1974,September,18,45,195,34,59,249,gop,63.540001,5.9
1974,October,18,45,195,34,59,249,gop,73.900002,6
1974,November,18,45,195,34,59,249,gop,69.970001,6.6
1974,December,18,45,195,34,59,249,gop,68.559998,7.2
1975,January,13,38,148,37,61,295,gop,76.980003,8.1
1975,February,13,38,148,37,61,295,gop,81.589996,8.1
1975,March,13,38,148,37,61,295,gop,83.360001,8.6
1975,April,13,38,148,37,61,295,gop,87.300003,8.8
1975,May,13,38,148,37,61,295,gop,91.150002,9
1975,June,13,38,148,37,61,295,gop,95.190002,8.8
1975,July,13,38,148,37,61,295,gop,88.75,8.6
1975,August,13,38,148,37,61,295,gop,86.879997,8.4
1975,September,13,38,148,37,61,295,gop,83.870003,8.4
1975,October,13,38,148,37,61,295,gop,89.040001,8.4
1975,November,13,38,148,37,61,295,gop,91.239998,8.3
1975,December,13,38,148,37,61,295,gop,90.190002,8.2
1976,January,13,39,148,37,65,295,gop,100.860001,7.9
1976,February,13,39,148,37,65,295,gop,99.709999,7.7
1976,March,13,39,148,37,65,295,gop,102.769997,7.6
1976,April,13,39,148,37,65,295,gop,101.639999,7.7
1976,May,13,39,148,37,65,295,gop,100.18,7.4
1976,June,13,39,148,37,65,295,gop,104.279999,7.6
1976,July,13,39,148,37,65,295,gop,103.440002,7.8
1976,August,13,39,148,37,65,295,gop,102.910004,7.8
1976,September,13,39,148,37,65,295,gop,105.239998,7.6
1976,October,13,39,148,37,65,295,gop,102.900002,7.7
1976,November,13,39,148,37,65,295,gop,102.099998,7.8
1976,December,13,39,148,37,65,295,gop,107.459999,7.8
1977,January,12,38,147,38,62,294,dem,102.029999,7.5
1977,February,12,38,147,38,62,294,dem,99.82,7.6
1977,March,12,38,147,38,62,294,dem,98.419998,7.4
1977,April,12,38,147,38,62,294,dem,98.440002,7.2
1977,May,12,38,147,38,62,294,dem,96.120003,7
1977,June,12,38,147,39,62,294,dem,100.480003,7.2
1977,July,12,38,147,40,62,294,dem,98.849998,6.9
1977,August,12,38,147,40,62,294,dem,96.769997,7
1977,September,12,38,147,40,62,294,dem,96.529999,6.8
1977,October,12,38,147,40,62,294,dem,92.339996,6.8
1977,November,12,38,147,41,62,294,dem,94.830002,6.8
1977,December,12,38,147,41,62,294,dem,95.099998,6.4
1978,January,12,41,147,38,66,294,dem,89.25,6.4
1978,February,12,41,147,38,66,294,dem,87.040001,6.3
1978,March,12,41,147,38,66,294,dem,89.209999,6.3
1978,April,12,41,147,38,66,294,dem,96.830002,6.1
1978,May,12,41,147,38,66,294,dem,97.239998,6
1978,June,12,41,147,38,66,294,dem,95.529999,5.9
1978,July,12,41,147,38,66,294,dem,100.68,6.2
1978,August,12,41,147,39,66,294,dem,103.290001,5.9
1978,September,12,41,147,39,66,294,dem,102.540001,6
1978,October,12,41,147,39,66,294,dem,93.150002,5.8
1978,November,12,41,147,39,66,294,dem,94.699997,5.9
1978,December,12,41,147,39,66,294,dem,96.110001,6
1979,January,19,41,160,32,58,280,dem,99.93,5.9
1979,February,19,41,160,32,58,280,dem,96.279999,5.9
1979,March,19,41,160,32,58,280,dem,101.589996,5.8
1979,April,19,41,160,32,58,280,dem,101.760002,5.8
1979,May,19,41,160,32,58,280,dem,99.080002,5.6
1979,June,19,41,160,32,58,280,dem,102.910004,5.7
1979,July,19,41,160,32,58,280,dem,103.809998,5.7
1979,August,19,41,160,32,58,280,dem,109.32,6
1979,September,19,41,160,32,58,280,dem,109.32,5.9
1979,October,19,41,160,32,58,280,dem,101.82,6
1979,November,19,41,160,32,58,280,dem,106.160004,5.9
1979,December,19,41,160,32,58,280,dem,107.940002,6
1980,January,19,42,160,32,59,280,dem,114.160004,6.3
1980,February,19,42,160,32,59,280,dem,113.660004,6.3
1980,March,20,42,160,31,59,280,dem,102.089996,6.3
1980,April,20,42,160,31,59,280,dem,106.290001,6.9
1980,May,20,42,160,31,59,280,dem,111.239998,7.5
1980,June,20,42,160,31,59,280,dem,114.239998,7.6
1980,July,20,42,160,31,59,280,dem,121.669998,7.8
1980,August,20,42,160,31,59,280,dem,122.379997,7.7
1980,September,20,42,160,31,59,280,dem,125.459999,7.5
1980,October,20,42,160,31,59,280,dem,127.470001,7.5
1980,November,20,42,160,31,59,280,dem,140.520004,7.5
1980,December,20,42,160,31,59,280,dem,135.759995,7.2
1981,January,24,53,196,27,46,246,gop,129.550003,7.5
1981,February,24,53,196,27,46,246,gop,131.270004,7.4
1981,March,24,53,196,27,46,246,gop,136,7.4
1981,April,24,53,196,27,46,246,gop,132.809998,7.2
1981,May,24,53,196,27,46,246,gop,132.589996,7.5
1981,June,24,53,196,27,46,246,gop,131.210007,7.5
1981,July,24,53,196,27,46,246,gop,130.919998,7.2
1981,August,24,53,196,27,46,246,gop,122.790001,7.4
1981,September,24,53,196,27,46,246,gop,116.18,7.6
1981,October,24,53,196,27,46,246,gop,121.889999,7.9
1981,November,24,53,196,27,46,246,gop,126.349998,8.3
1981,December,24,53,196,27,46,246,gop,122.550003,8.5
